State,State_Short,Year,Total,Number,Percent
Illinois,IL,1983,11345,1617,14.3
Indiana,IN,1983,5382,865,16.1
Iowa,IA,1983,2828,473,16.7
Kansas,KS,1983,2369,321,13.6
Kentucky,KY,1983,3752,670,17.9
Louisiana,LA,1983,4360,939,21.5
Maine,ME,1983,1157,144,12.4
Maryland,MD,1983,4112,358,8.7
Massachusetts,MA,1983,5731,443,7.7
Michigan,MI,1983,9056,1518,16.8
Minnesota,MN,1983,4138,502,12.1
Mississippi,MS,1983,2481,669,27
Missouri,MO,1983,4837,807,16.7
Montana,MT,1983,810,125,15.4
Nebraska,NE,1983,1577,240,15.2
Nevada,NV,1983,885,86,9.7
New Hampshire,NH,1983,938,76,8.1
New Jersey,NJ,1983,7451,828,11.1
New Mexico,NM,1983,1385,340,24.5
New York,NY,1983,17576,2817,16
North Carolina,NC,1983,5890,933,15.8
North Dakota,ND,1983,685,103,15
